epoch,loss,policy_loss,kl_penalty,reward_mean,reward_std,clip_fraction,approx_kl,advantage_mean,grad_norm,adv_saturation,adv_zero_rate,group_size,trained_prompt_num,r_ocr
0,0.000152,0.000143,0.000225,0.4165,0.3417,0.2969,0.000005,-0.000000,0.003748,0.0000,0.0312,8.00,8,0.4165
1,0.000153,0.000131,0.000556,0.4157,0.3518,0.2540,0.000001,0.000000,0.002743,0.0000,0.1562,8.00,16,0.4157
2,0.000060,0.000029,0.000775,0.3590,0.3360,0.1726,0.000000,0.000000,0.002884,0.0000,0.1250,8.00,24,0.3590
3,0.000065,0.000038,0.000672,0.5282,0.3444,0.1372,0.000000,-0.000000,0.002669,0.0000,0.0000,8.00,32,0.5282
4,0.000066,0.000042,0.000601,0.3934,0.3060,0.1319,0.000000,0.000000,0.002741,0.0000,0.0156,8.00,40,0.3934
5,0.000062,0.000023,0.000958,0.3464,0.3604,0.1181,0.000000,0.000000,0.003534,0.0000,0.0156,8.00,48,0.3464
6,0.000059,0.000030,0.000732,0.4557,0.3654,0.1319,0.000000,0.000000,0.002277,0.0000,0.0156,8.00,56,0.4557
7,0.000036,0.000003,0.000825,0.5567,0.3349,0.1052,0.000000,0.000000,0.002291,0.0000,0.1250,8.00,64,0.5567
8,0.000040,0.000008,0.000801,0.5353,0.2920,0.0868,0.000000,0.000000,0.001568,0.0000,0.0156,8.00,72,0.5353
9,0.000039,0.000003,0.000921,0.4254,0.4198,0.0833,0.000000,0.000000,0.001502,0.0000,0.0000,8.00,80,0.4254
10,0.000048,0.000015,0.000814,0.4844,0.3263,0.0868,0.000000,-0.000000,0.003178,0.0000,0.0156,8.00,88,0.4844
11,0.000043,0.000010,0.000816,0.2684,0.3248,0.0794,0.000000,0.000000,0.001890,0.0000,0.1250,8.00,96,0.2684
12,0.000051,0.000018,0.000838,0.6603,0.3292,0.1146,0.000000,-0.000000,0.004266,0.0000,0.0000,8.00,103,0.6603
13,0.000040,0.000007,0.000829,0.2764,0.3074,0.0734,0.000000,0.000000,0.005005,0.0000,0.1406,8.00,111,0.2764
14,0.000043,0.000010,0.000837,0.3913,0.3438,0.1071,0.000000,-0.000000,0.001515,0.0000,0.1250,8.00,119,0.3913
15,0.000046,0.000007,0.000977,0.3017,0.3379,0.0787,0.000000,0.000000,0.002004,0.0000,0.2500,8.00,127,0.3017
16,0.000046,0.000006,0.000991,0.4921,0.3677,0.0712,0.000000,0.000000,0.001499,0.0000,0.0000,8.00,135,0.4921
17,0.000036,0.000002,0.000847,0.6387,0.3252,0.0642,0.000000,0.000000,0.001320,0.0000,0.0000,8.00,143,0.6387
18,0.000038,0.000005,0.000846,0.5172,0.3502,0.0712,0.000000,0.000000,0.001894,0.0000,0.0156,8.00,151,0.5172
19,0.000038,0.000003,0.000877,0.4499,0.3568,0.0774,0.000000,0.000000,0.001480,0.0000,0.1250,8.00,159,0.4499
20,0.000038,0.000001,0.000914,0.4473,0.3640,0.0573,0.000000,-0.000000,0.001193,0.0000,0.0000,8.00,8,0.4473
21,0.000038,0.000002,0.000905,0.4146,0.3047,0.0556,0.000000,0.000000,0.003069,0.0000,0.0312,8.00,16,0.4146
22,0.000038,0.000004,0.000853,0.2674,0.3219,0.0873,0.000000,-0.000000,0.002561,0.0000,0.1250,8.00,24,0.2674
23,0.000052,0.000011,0.001023,0.6006,0.3346,0.1076,0.000000,0.000000,0.002644,0.0000,0.0000,8.00,32,0.6006
24,0.000042,0.000004,0.000935,0.5276,0.3471,0.0694,0.000000,0.000000,0.001479,0.0000,0.0625,8.00,40,0.5276
